Name,stop_id,stop_code,stop_descr,stop_desr_,stop_stree,dierxomene
"000036: ΑΦΕΤΗΡΙΑ 504","000036","10802",ΑΦΕΤΗΡΙΑ 504,AFETHRIA 504,,"537, 725, 726"
"000037: 2η ΠΛ. ΑΡΙΣΤΟΤΕΛΟΥΣ","000037","10803",2η ΠΛ. ΑΡΙΣΤΟΤΕΛΟΥΣ,2nd PL. ARISTOTELOYS,,"725, 726"
"000050: ΝΕΟΣ ΒΟΥΤΖΑΣ","000050","11162",ΝΕΟΣ ΒΟΥΤΖΑΣ,NEOS BOYTZAS,,"314"
"000051: Μ. ΑΛΕΞΑΝΔΡΟΥ","000051","10807",Μ. ΑΛΕΞΑΝΔΡΟΥ,M. ALEXANDROY,,"726"
"000053: ΚΑΝΤΖΑ 1","000053","10942",ΚΑΝΤΖΑ 1,KANTZA 1,,"307"
"000072: ΑΦΕΤΗΡΙΑ 324","000072","10758",ΑΦΕΤΗΡΙΑ 324,AFETHRIA 324,,"301, 324"
"000097: ΠΟΛΥΓΩΝΟ","000097","10298",ΠΟΛΥΓΩΝΟ,POLYGONO,,"140"
"000098: ΓΛΥΦΑΔΑ","000098","10299",ΓΛΥΦΑΔΑ,GLYFADA,,"140"
"000099: ΑΧΑΡΝΑΙ","000099","10300",ΑΧΑΡΝΑΙ,AXARNAI,,"537, 712, 728, 733, 734, 735, 752, 878, 879"
"000100: ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ","000100","10301",ΘΡΑΚΟΜΑΚΕΔΟΝΕΣ,THRAKOMAKEDONES,,"504, 725"
"000102: ΖΩΓΡΑΦΟΥ","000102","10303",ΖΩΓΡΑΦΟΥ,ZOGRAFOY,,"220, 221, 235"
"000103: ΑΛΙΜΟΣ","000103","10305",ΑΛΙΜΟΣ,ALIMOS,,"101"
"000104: ΕΛΛΗΝΙΚΟ","000104","10304",ΕΛΛΗΝΙΚΟ,ELLHNIKO,,"101"
"000105: ΠΕΥΚΑΚΙΑ ΑΓ. ΠΑΡΑΣΚΕΥΗΣ","000105","10307",ΠΕΥΚΑΚΙΑ ΑΓ. ΠΑΡΑΣΚΕΥΗΣ,PEYKAKIA AG. PARASKEYHS,,"406"
"000106: ΣΤ. ΝΟΜΙΣΜΑΤΟΚΟΠΕΙΟ","000106","10306",ΣΤ. ΝΟΜΙΣΜΑΤΟΚΟΠΕΙΟ,ST. NOMISMATOKOPEIO,,"304, 305, 308, 316"
"000107: ΣΤ. ΣΥΓΓΡΟΥ ΦΙΞ","000107","10308",ΣΤ. ΣΥΓΓΡΟΥ ΦΙΞ,ST. SYGGROY FIX,,"910, Β2"
"000108: Π. ΦΑΛΗΡΟ","000108","10312",Π. ΦΑΛΗΡΟ,P. FALHRO,,"550, 860"
"000109: ΒΑΡΥΜΠΟΜΠΗ","000109","10313",ΒΑΡΥΜΠΟΜΠΗ,BARYMPOMPH,,"503, 537"
"000110: ΖΗΡΙΝΕΙΟ","000110","10315",ΖΗΡΙΝΕΙΟ,ZHRINEIO,,"503, 507, 509, 509Β, 535, 535Α, 536"
"000111: ΣΤΑΜΑΤΑ","000111","10314",ΣΤΑΜΑΤΑ,STAMATA,,"507"
"000112: ΠΡΟΑΣΤΙΑΚΟΣ 2","000112","10316",ΠΡΟΑΣΤΙΑΚΟΣ 2,PROASTIAKOS 2,,"120, 307, 308, 309, 330"
