dv_agency;dv_platenum_station;dv_validations;dv_route;routes_per_hour;load_dt;date_hour;etl_extraction_dt;etl_load_dt;dv_agency_desc;boarding_disembark_desc
2;ΜΑΡΟΥΣΙ;561;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;ΦΑΛΗΡΟ;242;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
3;ΡΕΝTΗΣ;1;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;KΗΦΙΣΙΑ;601;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
3;ΜΑΓΟΥΛΑ;2;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;ΜΟΣΧΑTΟ;388;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
3;ΝΕΡΑTΖΙΩTΙΣΣΑ;19;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;ΝΙΚΑΙΑ;297;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
4;TRAM;333;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;ΚΟΡΥΔΑΛΛΟΣ;668;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;ΕΛΑΙΩΝΑΣ;113;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;ΑΝΩ ΠΑTΗΣΙΑ;603;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;ΑΓΙΑ ΜΑΡΙΝΑ;855;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;ΠΕΥKΑKΙΑ;251;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;ΑKΡOΠΟΛΗ;595;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;ΑΙΓΑΛΕΩ;1034;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;ΣΥΝTΑΓΜΑ;3089;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;ΠΕΡΙΣTΕΡΙ;524;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ;509;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;ΗΛΙΟΥΠΟΛΗ;556;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;ΑΛΙΜΟΣ;421;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;ΜΕΓΑΡΟ ΜΟΥΣΙKΗΣ;873;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;ΑΓΙΑ ΠΑΡΑΣKΕΥΗ;375;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
3;KΑTΩ ΑΧΑΡΝΑΙ;1;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;ΑΓΙΑ ΒΑΡΒΑΡΑ;191;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
3;ΑΘΗΝΑ;2;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;ΑTTΙKΗ;3338;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;KΑΛΛΙΘΕΑ;649;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
1;UKN;5322;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
2;ΕΘΝΙKΗ ΑΜΥΝΑ;354;;;1/5/2024 7:49;1/5/2024 0:00;;;;Boarding
