station_clean;x;y
ΑΓΙΑ ΒΑΡΒΑΡΑ;5;2
ΑΓΙΑ ΜΑΡΙΝΑ;6;2
ΑΓΙΑ ΠΑΡΑΣΚΕΥΗ;20;0
ΑΓΙΟΣ ΑΝΤΩΝΙΟΣ;18;2
ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣ;4;0
ΑΓΙΟΣ ΕΛΕΥΘΕΡΙΟΣ;19;1
ΑΓΙΟΣ ΙΩΑΝΝΗΣ;6;0
ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ;17;1
ΑΕΡΟΔΡΟΜΙΟ;26;0
ΑΙΓΑΛΕΩ;7;2
ΑΚΡΟΠΟΛΗ;9;0
ΑΛΙΜΟΣ;2;0
ΑΜΠΕΛΟΚΗΠΟΙ;14;0
ΑΝΘΟΥΠΟΛΗ;20;2
ΑΝΩ ΠΑΤΗΣΙΑ;20;1
ΑΡΓΥΡΟΥΠΟΛΗ;1;0
ΑΤΤΙΚΗ;16;2
ΒΙΚΤΩΡΙΑ;15;1
ΔΑΦΝΗ;5;0
ΔΗΜΟΤΙΚΟ ΘΕΑΤΡΟ;0;2
ΔΟΥΚΙΣΣΗΣ ΠΛΑΚΕΝΤΙΑΣ;22;0
ΕΘΝΙΚΗ ΑΜΥΝΑ;17;0
ΕΙΡΗΝΗ;25;1
ΕΛΑΙΩΝΑΣ;8;2
ΕΛΛΗΝΙΚΟ;0;0
ΕΥΑΓΓΕΛΙΣΜΟΣ;12;0
ΗΛΙΟΥΠΟΛΗ;3;0
ΗΡΑΚΛΕΙΟ;24;1
ΘΗΣΕΙΟ;8;1
ΚΑΛΛΙΘΕΑ;5;1
ΚΑΤ;28;1
ΚΑΤΕΧΑΚΗ;16;0
ΚΑΤΩ ΠΑΤΗΣΙΑ;18;1
ΚΕΡΑΜΕΙΚΟΣ;9;2
ΚΗΦΙΣΙΑ;29;1
ΚΟΡΥΔΑΛΛΟΣ;4;2
ΚΟΡΩΠΙ;25;0
ΜΑΝΙΑΤΙΚΑ;2;2
ΜΑΡΟΥΣΙ;27;1
ΜΕΓΑΡΟ ΜΟΥΣΙΚΗΣ;13;0
ΜΕΤΑΞΟΥΡΓΕΙΟ;14;2
ΜΟΝΑΣΤΗΡΑΚΙ;10;2
ΜΟΣΧΑΤΟ;4;1
ΝΕΑ ΙΩΝΙΑ;23;1
ΝΕΟΣ ΚΟΣΜΟΣ;7;0
ΝΕΡΑΤΖΙΩΤΙΣΣΑ;26;1
ΝΙΚΑΙΑ;3;2
ΝΟΜΙΣΜΑΤΟΚΟΠΕΙΟ;19;0
ΟΜΟΝΟΙΑ;13;2
ΠΑΙΑΝΙΑ ΚΑΝΤΖΑ;24;0
ΠΑΛΛΗΝΗ;23;0
ΠΑΝΕΠΙΣΤΗΜΙΟ;12;1
ΠΑΝΟΡΜΟΥ;15;0
ΠΕΙΡΑΙΑΣ;1;2
ΠΕΡΙΣΣΟΣ;21;1
ΠΕΡΙΣΤΕΡΙ;19;2
ΠΕΤΡΑΛΩΝΑ;7;1
ΠΕΥΚΑΚΙΑ;22;1
ΣΕΠΟΛΙΑ;17;2
ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ;15;2
ΣΥΓΓΡΟΥ ΦΙΞ;8;0
ΣΥΝΤΑΓΜΑ;11;0
ΤΑΥΡΟΣ;6;1
ΦΑΛΗΡΟ;3;1
ΧΑΛΑΝΔΡΙ;21;0
ΧΟΛΑΡΓΟΣ;18;0
